module_index,module,kind,segment,linker_offset,size,name,local_count,locals
140,F:\WLIBS\fields\fields.c,0x24,1,1064754,45,Pressed_Mouse_X,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064799,45,Pressed_Mouse_Y,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1064844,45,Auto_Input,3,dx;dy;d2
140,F:\WLIBS\fields\fields.c,0x24,1,1064889,446,Scan_Field,8,x;y;i;current_field;xmin;ymin;xmax;ymax
140,F:\WLIBS\fields\fields.c,0x24,1,1065335,479,Scan_Input,8,x;y;i;current_field;xmin;ymin;xpos;ypos
140,F:\WLIBS\fields\fields.c,0x24,1,1065814,53,Read_Character,0,
140,F:\WLIBS\fields\fields.c,0x24,1,1065867,408,Add_Hidden_Field,6,xmin;ymin;xmax;ymax;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1066275,474,Add_Circle_Field,5,x;y;radius;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1066749,771,Add_Clipped_Circle_Field,9,x;y;radius;hotkey;button_sound;xmin;xmax;ymin;ymax
140,F:\WLIBS\fields\fields.c,0x24,1,1067520,626,Add_Clipped_Hidden_Field,6,xmin;ymin;xmax;ymax;select_char;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1068146,344,Add_Hot_Key,1,select_char
140,F:\WLIBS\fields\fields.c,0x24,1,1068490,496,Add_Grid_Field,9,xmin;ymin;box_width;box_height;horizontal_count;vertical_count;)xpos;)ypos;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1068986,502,Add_Button_Info,6,xmin;ymin;string;pict_seg;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1069488,139,Add_Button_Field,6,xmin;ymin;string;pict_seg;hotkey;button_sound
140,F:\WLIBS\fields\fields.c,0x24,1,1069627,164,Add_Radio_Button_Field,7,xmin;ymin;string;pict_seg;)variable;hotkey;button_sound
